GeneID,Description,Gene Name
Rv2051c,Description not found,ppm1
Rv1201c,Description not found,dapD
Rv3396c,Description not found,guaA
Rv2156c,Description not found,murX
Rv3266c,Description not found,rmlD
Rv3465,Description not found,rmlC
Rv3068c,Description not found,pgmA
Rv2392,Description not found,cysH
Rv0391,Description not found,metZ
Rv0500,Description not found,proC
Rv1079,Description not found,metB
Rv2539c,Description not found,aroK
Rv2552c,Description not found,aroE
Rv2335,Description not found,cysE
Rv1338,Description not found,murI
Rv0858c,Description not found,dapC
Rv1202,Description not found,dapE
Rv2386c,Description not found,mbtI
Rv1286,Description not found,cysN
Rv1692,Description not found,Rv1692
Rv1285,Description not found,cysD
Rv2958c,Description not found,Rv2958c
Rv2962c,Description not found,Rv2962c
Rv1493,Description not found,mutB
Rv2465c,Description not found,rpiB
Rv1492,Description not found,mutA
Rv0570,Description not found,nrdZ
Rv0855,Description not found,far
Rv1981c,Description not found,nrdF1
Rv1878,Description not found,glnA3
Rv3051c,Description not found,nrdE
Rv0046c,Description not found,ino1
Rv3048c,Description not found,nrdF2
Rv2220,Description not found,glnA1
Rv2860c,Description not found,glnA4
Rv2222c,Description not found,glnA2
Rv1389,Description not found,gmk
Rv2124c,Description not found,metH
Rv1392,Description not found,metK
Rv1512,Description not found,epiA
Rv3582c,Description not found,ispD
Rv3581c,Description not found,ispF
Rv3436c,Description not found,glmS
Rv0436c,Description not found,pssA
Rv0884c,Description not found,serC
Rv2381c,Description not found,mbtD
Rv0993,Description not found,galU
Rv0437c,Description not found,psd
Rv2383c,Description not found,mbtB
Rv3227,Description not found,aroA
Rv2380c,Description not found,mbtE
Rv2382c,Description not found,mbtC
Rv2379c,Description not found,mbtF
Rv0619,Description not found,galTb
Rv1017c,Description not found,prsA
Rv2378c,Description not found,mbtG
Rv2384,Description not found,mbtA
Rv0618,Description not found,galTa
Rv2611c,Description not found,Rv2611c
Rv0620,Description not found,galK
Rv3255c,Description not found,manA
Rv3808c,Description not found,glfT2
Rv1603,Description not found,hisA
Rv3264c,Description not found,manB
Rv0788,Description not found,purQ
Rv0803,Description not found,purL
Rv2934,Description not found,ppsD
